traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid,bounlaypos
1.0,1.0,12.0,8.0,7.0,17.0,0.0,1.0,0.0,42.82,-75.54,500.0,920.6,299.5,292.5,0.0,1116.0,42.8,6.4,0.0
1.0,1.0,12.0,8.0,7.0,16.0,0.0,2.0,-1.0,42.756,-75.638,504.5,919.9,298.6,291.6,0.0,891.1,45.7,6.5,0.0
1.0,1.0,12.0,8.0,7.0,15.0,0.0,3.0,-2.0,42.681,-75.721,525.0,917.3,297.8,290.5,0.0,655.6,47.6,6.4,0.0
1.0,1.0,12.0,8.0,7.0,14.0,0.0,2.0,-3.0,42.61,-75.796,556.0,914.3,297.7,290.1,0.0,460.6,45.2,5.9,1.0
1.0,1.0,12.0,8.0,7.0,13.0,0.0,1.0,-4.0,42.562,-75.87,589.0,911.4,297.6,289.8,0.0,266.8,42.4,5.5,1.0
1.0,1.0,12.0,8.0,7.0,12.0,0.0,0.0,-5.0,42.539,-75.946,621.5,908.9,297.6,289.6,0.0,75.3,39.2,5.0,1.0
1.0,1.0,12.0,8.0,7.0,11.0,0.0,1.0,-6.0,42.54,-76.019,655.0,905.6,297.7,289.4,0.0,63.7,38.5,4.9,1.0
1.0,1.0,12.0,8.0,7.0,10.0,0.0,2.0,-7.0,42.564,-76.086,687.5,902.3,297.9,289.2,0.0,53.3,38.5,4.8,1.0
1.0,1.0,12.0,8.0,7.0,9.0,0.0,3.0,-8.0,42.606,-76.152,711.8,900.1,298.0,289.1,0.0,41.9,38.5,4.8,1.0
1.0,1.0,12.0,8.0,7.0,8.0,0.0,2.0,-9.0,42.67,-76.231,720.8,901.1,297.9,289.2,0.0,47.2,39.9,5.0,1.0
1.0,1.0,12.0,8.0,7.0,7.0,0.0,1.0,-10.0,42.754,-76.334,711.8,904.7,297.8,289.4,0.0,49.9,41.3,5.2,1.0
1.0,1.0,12.0,8.0,7.0,6.0,0.0,0.0,-11.0,42.856,-76.466,692.6,910.3,297.6,289.7,0.0,50.0,42.0,5.4,1.0
1.0,1.0,12.0,8.0,7.0,5.0,0.0,1.0,-12.0,42.959,-76.633,674.4,916.2,297.5,290.2,0.0,47.0,41.3,5.4,1.0
1.0,1.0,12.0,8.0,7.0,4.0,0.0,2.0,-13.0,43.046,-76.833,665.5,921.1,297.6,290.7,0.0,56.5,41.1,5.5,1.0
1.0,1.0,12.0,8.0,7.0,3.0,0.0,3.0,-14.0,43.122,-77.059,664.0,923.6,297.7,291.0,0.0,74.3,41.7,5.7,1.0
1.0,1.0,12.0,8.0,7.0,2.0,0.0,2.0,-15.0,43.186,-77.304,677.4,921.3,297.6,290.7,0.0,110.9,45.0,6.1,1.0
1.0,1.0,12.0,8.0,7.0,1.0,0.0,1.0,-16.0,43.241,-77.557,716.7,916.2,297.8,290.4,0.0,130.5,46.7,6.2,1.0
1.0,1.0,12.0,8.0,7.0,0.0,0.0,0.0,-17.0,43.295,-77.809,783.1,908.2,298.0,289.9,0.0,128.0,46.3,6.0,1.0
1.0,1.0,12.0,8.0,6.0,23.0,0.0,1.0,-18.0,43.353,-78.048,860.9,899.4,298.0,289.1,0.0,431.6,49.9,6.2,1.0
1.0,1.0,12.0,8.0,6.0,22.0,0.0,2.0,-19.0,43.411,-78.268,927.5,892.9,297.8,288.3,0.0,740.6,54.1,6.4,1.0
1.0,1.0,12.0,8.0,6.0,21.0,0.0,3.0,-20.0,43.466,-78.473,982.4,887.2,297.5,287.5,0.0,1024.6,57.0,6.5,0.0
1.0,1.0,12.0,8.0,6.0,20.0,0.0,2.0,-21.0,43.521,-78.666,1026.4,882.9,297.2,286.8,0.0,1034.4,57.4,6.3,0.0
1.0,1.0,12.0,8.0,6.0,19.0,0.0,1.0,-22.0,43.588,-78.852,1059.3,879.4,297.0,286.3,0.0,1024.8,55.7,5.9,1.0
1.0,1.0,12.0,8.0,6.0,18.0,0.0,0.0,-23.0,43.674,-79.035,1089.0,875.4,297.0,285.9,0.0,997.9,50.6,5.3,1.0
1.0,1.0,12.0,8.0,6.0,17.0,0.0,1.0,-24.0,43.792,-79.207,1124.2,868.5,296.9,285.2,0.0,949.2,49.9,5.0,1.0
1.0,1.0,12.0,8.0,6.0,16.0,0.0,2.0,-25.0,43.952,-79.36,1166.6,860.3,297.1,284.6,0.0,881.7,45.4,4.4,1.0
1.0,1.0,12.0,8.0,6.0,15.0,0.0,3.0,-26.0,44.154,-79.497,1208.3,853.7,297.2,284.1,0.0,831.8,41.3,3.9,1.0
1.0,1.0,12.0,8.0,6.0,14.0,0.0,2.0,-27.0,44.391,-79.658,1252.5,849.5,297.0,283.4,0.0,777.1,44.4,4.0,1.0
1.0,1.0,12.0,8.0,6.0,13.0,0.0,1.0,-28.0,44.653,-79.869,1314.4,846.0,296.6,282.7,0.0,756.7,47.8,4.2,1.0
1.0,1.0,12.0,8.0,6.0,12.0,0.0,0.0,-29.0,44.937,-80.112,1409.6,841.5,296.2,281.9,0.0,850.9,51.7,4.3,1.0
1.0,1.0,12.0,8.0,6.0,11.0,0.0,1.0,-30.0,45.221,-80.394,1499.4,832.0,296.5,281.3,0.0,786.2,53.2,4.3,1.0
1.0,1.0,12.0,8.0,6.0,10.0,0.0,2.0,-31.0,45.485,-80.703,1536.8,827.4,296.7,281.1,0.0,634.1,53.2,4.2,1.0
1.0,1.0,12.0,8.0,6.0,9.0,0.0,3.0,-32.0,45.747,-81.007,1528.8,827.8,296.7,281.1,0.0,452.3,51.9,4.1,1.0
1.0,1.0,12.0,8.0,6.0,8.0,0.0,2.0,-33.0,46.021,-81.303,1511.7,828.1,296.8,281.2,0.0,341.1,51.6,4.2,1.0
1.0,1.0,12.0,8.0,6.0,7.0,0.0,1.0,-34.0,46.32,-81.609,1535.4,818.2,297.2,280.6,0.0,367.2,53.2,4.2,1.0
