traj_id,traj_num,year,month,day,hour,step,timestep,hour_back,lat,lon,alt,pressure,theta,air_temp,rainfall,mixdepth,relhum,spchumid
1.0,1.0,12.0,8.0,23.0,17.0,0.0,1.0,0.0,42.82,-75.54,1000.0,872.8,299.5,288.1,0.0,1361.2,53.6,6.5
1.0,1.0,12.0,8.0,23.0,16.0,0.0,2.0,-1.0,42.832,-75.728,1040.8,870.1,299.1,287.4,0.0,1026.2,52.6,6.1
1.0,1.0,12.0,8.0,23.0,15.0,0.0,3.0,-2.0,42.831,-75.905,1079.5,867.2,298.8,286.8,0.0,646.4,49.8,5.6
1.0,1.0,12.0,8.0,23.0,14.0,0.0,2.0,-3.0,42.835,-76.091,1101.9,866.9,298.8,286.8,0.0,418.4,49.0,5.5
1.0,1.0,12.0,8.0,23.0,13.0,0.0,1.0,-4.0,42.861,-76.302,1101.5,869.7,298.7,287.0,0.0,240.8,48.4,5.4
1.0,1.0,12.0,8.0,23.0,12.0,0.0,0.0,-5.0,42.907,-76.532,1089.4,874.4,298.6,287.4,0.0,76.9,46.4,5.3
1.0,1.0,12.0,8.0,23.0,11.0,0.0,1.0,-6.0,42.94,-76.773,1076.3,878.7,298.6,287.8,0.0,71.4,45.8,5.4
1.0,1.0,12.0,8.0,23.0,10.0,0.0,2.0,-7.0,42.939,-77.023,1063.7,882.0,298.6,288.1,0.0,75.7,44.3,5.3
1.0,1.0,12.0,8.0,23.0,9.0,0.0,3.0,-8.0,42.913,-77.291,1047.4,880.4,298.6,287.9,0.0,73.3,46.2,5.5
1.0,1.0,12.0,8.0,23.0,8.0,0.0,2.0,-9.0,42.883,-77.565,1047.5,877.6,298.7,287.7,0.0,70.2,48.4,5.7
1.0,1.0,12.0,8.0,23.0,7.0,0.0,1.0,-10.0,42.855,-77.828,1069.1,872.5,298.8,287.4,0.0,72.5,48.2,5.5
1.0,1.0,12.0,8.0,23.0,6.0,0.0,0.0,-11.0,42.827,-78.078,1094.6,868.2,299.0,287.2,0.0,79.1,47.3,5.4
1.0,1.0,12.0,8.0,23.0,5.0,0.0,1.0,-12.0,42.794,-78.317,1112.1,866.4,299.1,287.1,0.0,81.2,49.9,5.7
1.0,1.0,12.0,8.0,23.0,4.0,0.0,2.0,-13.0,42.76,-78.542,1122.4,865.1,299.2,287.0,0.0,89.9,51.5,5.8
1.0,1.0,12.0,8.0,23.0,3.0,0.0,3.0,-14.0,42.723,-78.751,1136.5,863.3,299.3,287.0,0.0,103.2,52.0,5.9
1.0,1.0,12.0,8.0,23.0,2.0,0.0,2.0,-15.0,42.685,-78.953,1166.1,860.2,299.4,286.8,0.0,129.0,52.2,5.9
1.0,1.0,12.0,8.0,23.0,1.0,0.0,1.0,-16.0,42.65,-79.16,1215.8,855.0,299.6,286.4,0.0,134.8,52.9,5.8
1.0,1.0,12.0,8.0,23.0,0.0,0.0,0.0,-17.0,42.621,-79.373,1283.6,848.3,299.7,285.9,0.0,135.3,54.5,5.9
1.0,1.0,12.0,8.0,22.0,23.0,0.0,1.0,-18.0,42.596,-79.589,1355.6,841.3,299.7,285.2,0.0,338.1,57.8,6.0
1.0,1.0,12.0,8.0,22.0,22.0,0.0,2.0,-19.0,42.57,-79.805,1424.7,834.8,299.8,284.7,0.0,510.5,59.1,5.9
1.0,1.0,12.0,8.0,22.0,21.0,0.0,3.0,-20.0,42.541,-80.023,1506.1,827.2,299.9,284.1,0.0,655.7,58.6,5.7
